event_id,year,event_type,event_name,short_description,site_id,purpose_code,actors,legal_or_source,protest_or_response,ideology_keywords,source_url_or_citation,confidence
GHA_EV_0001,1876,law,Public Lands Ordinance,Authorized colonial appropriation of vacant lands required for colonial services; helped lay legal foundations for later forest/land disputes.,,state_land_control,Colonial state; chiefs; local landholders,"Public Lands Ordinance, 1876",,vacant land; territorial sovereignty; bureaucratic land control,uploaded Colonial Law draft,medium
GHA_EV_0002,1876,law,Supreme Court Ordinance,Centralized adjudicative authority through colonial judiciary modeled on English law; relevant because forest disputes later moved through colonial legal institutions.,,legal_centralization,Colonial judiciary; chiefs; litigants,"Supreme Court Ordinance, 1876",,legal pluralism; English law; jurisdiction,uploaded Colonial Law draft,medium
GHA_EV_0003,1883,law,Native Jurisdiction Ordinance,Regulated chiefly jurisdiction and shaped the indirect-rule legal context within which land/forest disputes were mediated.,,chiefly_governance,Colonial state; chiefs; native courts,"Native Jurisdiction Ordinance, 1883",,native authority; customary law; decentralized governance,uploaded Colonial Law draft,medium
GHA_EV_0004,1894,law/protest,Crown Lands Bill controversy,Attempted to render uncultivated or unregistered land as Crown property; became a major focus of African protest against land alienation.,,state_land_control,Colonial state; chiefs; ARPS/intelligentsia,"Crown Lands Bill, 1894",Petitions and delegation/lobbying against land alienation,vacant land; Crown ownership; customary tenure; ancestral land,uploaded Colonial Law draft,medium
GHA_EV_0005,1908,report,H. N. Thompson report on forests,British forest officer proposed reserve system in response to perceived deforestation and agricultural expansion; influenced later forestry policy.,,scientific_forestry,H. N. Thompson; colonial government; chiefs; farmers,"Thompson Report on Forests, 1908/1910 publication",Local skepticism and legal resistance to reservation developed in following years,scientific forestry; watershed protection; anti-shifting cultivation discourse; botanical classification,uploaded Botany and Colonial Authority PDF; web source on Vilgiate 2020,medium
GHA_EV_0006,1909,institution,Forestry Department established,"Formal colonial forestry administration emerged to survey, demarcate, regulate, and manage forest resources.",,forest_bureaucracy,Colonial government; Forestry Department,Secondary forestry policy literature,,bureaucratic management; scientific forestry; demarcation,web search result: Teye/Oduro forestry histories,medium
GHA_EV_0007,1911,law/protest,Forestry Bill and chiefs' cablegram/protest,"Bill sought forest reserves, conservation, acquisition or relinquishing of land rights, leasing/collection of forest produce, and regulation of sale/export. Chiefs and intelligentsia protested.",,reserve_creation_control,Southern Gold Coast kings/chiefs; Colonial Secretary; ARPS; Casely Hayford; C. J. Bannerman,"Forestry Bill, 1911; Casely Hayford, Gold Coast Land Tenure and the Forest Bill","Public meetings, pamphlets, petitions/cablegram to Colonial Office; bill delayed/defeated until revised 1927 ordinance",customary tenure; nationalist protest; sacred groves; medicinal plants; hunting; spiritual practice; anti-alienation,uploaded Colonial Law draft,high
GHA_EV_0008,1927,law,"Forests Ordinance / Forests Act, 1927","Provided legal machinery for creation, notification, enquiry, survey, reserve settlement, ownership/management, offences, permits, and Forests Improvement Fund.",,forest_reserve_governance,Colonial government; Forestry Commission/Department; Reserve Settlement Commissioners; chiefs/landowners,"Forests Act, 1927 Cap.157","Reservation disputes over ownership, compensation, access, farming, hunting, forest produce",public interest; water supply; agricultural crop protection; forest produce; survey; demarcation; permits,https://faolex.fao.org/docs/pdf/gha40761.pdf,high
GHA_EV_0009,1929,reserve_creation,Achimota Forest Reserve constituted,"Peri-urban reserve/plantation associated with Achimota School, urban buffer, fuelwood supply, shelter belt and controlled forest use.",GHA_GS_0001,urban_buffer_fuelwood,Colonial government; Forestry Department; Achimota School; Achimota Village; Owoo family,Forests Ordinance 1927; Achimota acquisition records,Owoo family claims; mango farmers claims in 1930,urban ordering; buffer; firewood; sanitation; institutional landscape; controlled use,uploaded Achimota Draft,high for event; coordinates not official boundary
GHA_EV_0010,1929,policy/practice,Taungya introduced in Gold Coast forestry,Farming-cum-forest improvement system introduced from Asian colonial forestry practice; allowed supervised farming while disciplining access and producing plantation labor.,,controlled_agroforestry,Forestry Department; farmers; local communities,Logan/Forestry Department history as cited in Achimota Draft,Turned farmers into supervised participants in state forestry,taungya; labor discipline; plantation establishment; controlled access,uploaded Achimota Draft,medium
GHA_EV_0011,1930,land_claim,Mango farmers’ claims around Achimota,"When firewood plantation conversion into reserve emerged, mango farmers from Achimota Village asserted claims to sections of land; settlement allocation recorded in draft.",GHA_GS_0001,rights_contestation,Achimota Village mango farmers; colonial state; Vernon Buckle,Achimota Draft,"£3,740 allocated for settlement; administrative management of claims",customary use; compensation; title versus use; reserve settlement,uploaded Achimota Draft,medium
GHA_EV_0012,1935,amendment,Forests Act amendment No. 30 of 1935,Amended reserve settlement/management provisions; relevant to coding changes in forest governance after 1927.,,legal_amendment,Colonial government; Forestry Commission/Department,Forests Act 1927 PDF notes amendment,,forest governance; reserve settlement; legal amendment,https://faolex.fao.org/docs/pdf/gha40761.pdf,high
GHA_EV_0013,1949,amendment,Forests Act amendment No. 21 of 1949,Amended reserve management provisions; useful for tracking late-colonial legal refinements before independence.,,legal_amendment,Colonial government; Forestry Commission/Department,Forests Act 1927 PDF notes amendment,,forest governance; legal amendment,https://faolex.fao.org/docs/pdf/gha40761.pdf,high
GHA_EV_0014,1957,transition,Ghana independence and inheritance of colonial forest reserve system,End date for this project’s colonial dataset; colonial forest reserve boundaries and legal logics continued into postcolonial governance.,,postcolonial_inheritance,Ghana state; Forestry Department/Commission; stool lands authorities,Project framing,,institutional continuity; colonial legal inheritance; forest governance,,high
