site_id,site_name,site_type,colony_region_historical,modern_region,nearest_place,creation_year,start_year,end_year,legal_basis,area_ha,latitude,longitude,coordinate_type,coordinate_precision,boundary_status,purpose_primary,purpose_secondary,color_hex,ideology_keywords,actors,protest_or_contestation,evidence_note,source_short,source_url_or_citation,verification_status
GHA_GS_0001,Achimota Forest Reserve / Achimota Plantation,forest_reserve; plantation; peri_urban_green_space,Gold Coast Colony; Accra district/environs,Greater Accra,"Achimota, Accra",1929,1921,1957,"Forests Ordinance/Forests Act, 1927; land acquisition under Public Lands framework",432,5.624722,-0.201111,user_supplied_centroid,high for research centroid; not official boundary,approximate; replace with official polygon,urban_buffer,fuelwood_supply; institutional_landscape; erosion_control; shelter_belt; controlled_use,#1b9e77,scientific forestry; urban ordering; institutional prestige; colonial utility; environmental sanitation; resource control,Colonial government; Forestry Department/Commission; Achimota School/Prince of Wales College; Owoo family; Achimota Village farmers,Owoo land claims; mango farmers asserted claims in 1930; wider forest reservation disputes over ownership/use,Constituted after 1927 Forestry Ordinance; described as buffer and firewood supply for Achimota School.,Achimota Draft; Forests Act 1927; Protected Planet list for Achimota Plantation,uploaded Achimota Draft; https://faolex.fao.org/docs/pdf/gha40761.pdf; https://documents.protectedplanet.net/GHA.html,partly_verified
GHA_GS_0002,Abasumba Forest Reserve,forest_reserve,Gold Coast,,,1927,1927,1957,"Forests Ordinance/Forests Act, 1927",104,,,missing,requires WDPA polygon or gazette boundary extraction,needs official polygon,formal_forest_reservation,protection; controlled_use,#66a61e,scientific forestry; reserve demarcation; protection,Colonial government; Forestry Department; local land authorities,,Listed in 2018 UN Protected Areas list as designated in 1927.,Protected Planet UN List of Protected Areas Ghana,https://documents.protectedplanet.net/GHA.html,needs_coordinate_verification
GHA_GS_0003,Akuse protected forest cover,protected_forest_cover,Gold Coast; Eastern Province area,Eastern Region,Akuse,by 1930,,1957,"Forest policy/reservation process, likely under 1927 framework",,,,missing,needs archive/gazette verification,unknown,protection,forest_cover; fuelwood/timber supply possible,#66a61e,protected forest cover; colonial conservation; resource control,Colonial government; Forestry Department,,Achimota draft states protected forest covers existed in Akuse by 1930.,Achimota Draft,uploaded Achimota Draft,needs_archive_verification
GHA_GS_0004,Cape Coast protected forest cover,protected_forest_cover,Gold Coast; Central Province,Central Region,Cape Coast,by 1930,,1957,"Forest policy/reservation process, likely under 1927 framework",,,,missing,needs archive/gazette verification,unknown,protection,forest_cover; sanitation; watershed/erosion protection possible,#66a61e,protected forest cover; colonial conservation; resource control,Colonial government; Forestry Department; Central Province authorities,Cape Coast chiefs and elites were involved in anti-land/forest bill protest politics,Achimota draft states protected forest covers existed in Cape Coast by 1930.,Achimota Draft; Colonial Law draft,uploaded Achimota Draft; uploaded Colonial Law draft,needs_archive_verification
GHA_GS_0005,Kumasi protected forest cover,protected_forest_cover,Ashanti,Ashanti Region,Kumasi,by 1930,,1957,"Forest policy/reservation process, likely under 1927 framework",,,,missing,needs archive/gazette verification,unknown,protection,forest_cover; watershed; controlled_use,#66a61e,protected forest cover; colonial conservation; resource control,Colonial government; Forestry Department; Ashanti authorities,,Achimota draft states protected forest covers existed in Kumasi by 1930.,Achimota Draft,uploaded Achimota Draft,needs_archive_verification
GHA_GS_0006,Asantemanso Sacred Grove,sacred_grove; archaeological_site,Ashanti,Ashanti Region,About 20 miles south of Kumasi,precolonial/long-standing; archaeologically circa 800 AD settlement foundation,,1957,customary sacred landscape; not colonial creation,,,,missing,requires heritage/GPS verification,needs field or heritage polygon,sacred_memory,ancestral_authority; political_legitimacy; territorial_marker,#7570b3,asamanfo; ancestors; lieux de mémoire; stool/lineage authority; sacred power,Asante communities; chiefs/elders; ritual authorities,,Chouin notes association between Asantemanso sacred grove and major archaeological site.,Chouin 2002 Sacred Groves in History,uploaded 2002 Sacred Groves PDF,needs_coordinate_verification
GHA_GS_0007,Nsadwer Sacred Groves,sacred_grove_network,Gold Coast; coastal Ghana,Central Region,"Nsadwer, about 4 miles west of Elmina",precolonial/long-standing,,1957,customary regulation by chiefs and elders,,,,missing,requires field/GPS verification,needs field polygons,sacred_memory,burial_ground; non_timber_forest_products; conflict_management; social_order,#7570b3,abosom; asamanfo; spiritual dwelling; customary access; social order,Nsadwer community; chiefs; elders,,Chouin describes sacred groves around Nsadwer and their regulation by chiefs and elders.,Chouin 2002 Sacred Groves in History,uploaded 2002 Sacred Groves PDF,needs_coordinate_verification
GHA_GS_0008,"Dumpo / Acomani Grove, Eguafo",sacred_grove; ruined_settlement,Gold Coast; coastal polity,Central Region,Eguafo,precolonial/long-standing,,1957,customary sacred landscape,,,,missing,requires field/GPS verification,needs field polygon,sacred_memory,political_legitimacy; former_capital; ancestral authority,#7570b3,sacred power; precolonial power; territorial claims,Eguafo polity; chiefs; ritual authorities,,"Chouin states Dumpo probably covers ruins of Acomani, early capital of Eguafo kingdom.",Chouin 2002 Sacred Groves in History,uploaded 2002 Sacred Groves PDF,needs_coordinate_verification
GHA_GS_0009,"Nananom Mpow, Mankessim",sacred_grove,Gold Coast; Fante area,Central Region,Mankessim,precolonial/long-standing,,1957,customary sacred landscape,,,,missing,requires field/GPS verification,needs field polygon,sacred_memory,ancestral_authority; Fante migration memory; divination,#7570b3,grove of elders; Nananom; ancestors; Fante spiritual capital,Fante ritual authorities; chiefs; elders,,Chouin cites McCaskie on Nananom Mpow as sacred grove at Mankessim.,Chouin 2002 Sacred Groves in History,uploaded 2002 Sacred Groves PDF,needs_coordinate_verification
GHA_GS_0010,Efutu old capital sacred grove,sacred_grove; ruined_settlement,Gold Coast; coastal polity,Central Region,Efutu / Winneba area,precolonial/long-standing,,1957,customary sacred landscape,,,,missing,requires field/GPS verification,needs field polygon,sacred_memory,political_legitimacy; old palace; territorial authority,#7570b3,precolonial power; sacred grove; palace remains,Efutu authorities; chiefs; ritual leaders,,Chouin notes a prominent sacred grove at Efutu covering remains of an old palace.,Chouin 2002 Sacred Groves in History,uploaded 2002 Sacred Groves PDF,needs_coordinate_verification
