reserve_name,map_label,designation,creation_or_status_year,year_basis,alternative_years,colonial_period,ordinance_or_legal_authority_mapped,legal_pathway_category,legal_mapping_confidence,area_km2_reported,area_km2_alternative,modern_region_or_sublocation,source_type,source_title,source_url,source_note,verification_status,r_join_key
Pra Anum Forest Reserve,Pra Anum,Forest Reserve,1908,WDPA/UN List and Protected Planet status year,,Pre-Forests Ordinance,Native Jurisdiction/Native Administration by-law or customary chiefly reservation; later recognized within colonial forestry administration,pre_1927_native_authority_or_customary_reservation,Medium,123.28,129.53,Akim Oda / Eastern forest zone,UN List/Protected Planet; Ghana Forest and Wildlife Handbook snippet,United Nations List of Protected Areas of Ghana / Protected Planet profile for Pra Anum,https://www.protectedplanet.net/40809,Status year reported as 1908; area reported in UN list as 123.28 km2 and Protected Planet current area as 129.53 km2.,verified_year_open_source; legal_authority_inferred_from_pre_1927_context,pra_anum
Atewa Range Forest Reserve,Atewa Range,Forest Reserve,1926,Protected Planet status year; independent sources mention January 1926 gazetting,1929 reported in some conservation literature,Pre-Forests Ordinance / transition to 1927 forestry regime,Likely Native Authority/Native Jurisdiction by-law or chiefly reservation before the Forests Ordinance; subsequently administered under the Forests Ordinance framework,pre_1927_native_authority_or_customary_reservation,Medium,216.92,255.05 including extension in KBA descriptions,Eastern Region; Akyem Abuakwa area,Protected Planet; KBA profile; conservation literature,Protected Planet profile for Atewa Range; Key Biodiversity Area factsheet,https://www.protectedplanet.net/40878,"Status year reported as 1926; some later literature gives 1929, so year is flagged for Gazette verification.",verified_status_year_open_source; conflicting_secondary_date,atewa_range
Bandai Hills Forest Reserve,Bandai Hills,Forest Reserve,1928,UN/WDPA Ghana list snippet,,Forests Ordinance era,"Forests Ordinance, 1927, with possible constitution through chiefs/traditional authority by-law or order following Gazette procedure",forests_ordinance_1927_or_native_authority_bylaw,Medium,160.84,,Banda / Brong-Ahafo forest-savanna transition zone,UN List/WDPA,United Nations List of Protected Areas of Ghana,https://documents.protectedplanet.net/GHA.html,Open-source list reports Designated 1928 and area 160.84 km2.,verified_year_open_source; individual_gazette_not_found,bandai_hills
Esukawkaw Forest Reserve,Esukawkaw,Forest Reserve,1929,Protected Planet status year,,Forests Ordinance era,"Forests Ordinance, 1927, probably through order or chief/traditional authority by-law under forestry supervision",forests_ordinance_1927_or_native_authority_bylaw,High,123.14,,Brong-Ahafo / Bono area,Protected Planet,Protected Planet profile for Esukawkaw,https://www.protectedplanet.net/40782,Protected Planet reports status year 1929 and area 123.14 km2.,verified_year_open_source; individual_gazette_not_found,esukawkaw
Tano Ofin Forest Reserve,Tano Ofin,Forest Reserve,1929,Protected Planet status year and UN/WDPA Ghana list,,Forests Ordinance era,"Forests Ordinance, 1927, with administration by owner/traditional authority or government for owner benefit as permitted by ordinance",forests_ordinance_1927_or_native_authority_bylaw,High,402.23,411.55,Ashanti / Tano-Offin zone,Protected Planet; UN List/WDPA,Protected Planet profile for Tano Ofin; United Nations List of Protected Areas of Ghana,https://www.protectedplanet.net/40764,Status year 1929. UN/WDPA and Protected Planet report slightly different areas.,verified_year_open_source; area_discrepancy_noted,tano_ofin
Worobong South (Kwahu) Forest Reserve,Worobong South,Forest Reserve,1929,Ghana Forest and Wildlife Handbook / WDPA snippet,,Forests Ordinance era,"Forests Ordinance, 1927, likely by order or Native Authority by-law",forests_ordinance_1927_or_native_authority_bylaw,Medium,,55 reported in handbook-style snippet but unit requires verification,Kwahu / Eastern Region,Ghana Forest and Wildlife Handbook snippet,Ghana Forest and Wildlife Handbook / protected-area list snippet,,Snippet reports Worobong South (Kwahu) with year 1929; area unit requires checking against the original handbook table.,verified_year_from_snippet; needs_original_table_check,worobong_south
Pompo Headwaters Forest Reserve,Pompo Headwaters,Forest Reserve,1930,UN/WDPA Ghana list and Ghana Forest and Wildlife Handbook snippet,,Forests Ordinance era,"Forests Ordinance, 1927, likely protective reserve gazetted by order or through chief/traditional authority by-law",forests_ordinance_1927_or_native_authority_bylaw,High,12.20,,Akim Oda / Eastern forest zone,UN List/WDPA; Ghana Forest and Wildlife Handbook snippet,United Nations List of Protected Areas of Ghana / Ghana Forest and Wildlife Handbook snippet,https://documents.protectedplanet.net/GHA.html,UN list reports Designated 1930 and area 12.2 km2.,verified_year_open_source; individual_gazette_not_found,pompo_headwaters
Achimota Forest Reserve / Achimota Plantation,Achimota,Forest Reserve / plantation reserve,1930,Public discussion of 1930 legal instrument; project source identifies Achimota Fuel Reserve by 1929-1930,"1927 sometimes cited as initial reserve/acquisition context; 1921/1922 and 1927 relate to land acquisition, not final forest-reserve instrument",Forests Ordinance era; public-land acquisition context,"Public Lands Ordinance acquisition framework plus Forests Ordinance, 1927 reserve/classification instrument",public_lands_acquisition_plus_forests_ordinance_classification,Medium,4.95,4.04 in WDPA/UN list for Achimota Plantation; 3.60 sometimes cited for later reserve area,Accra / Achimota,Project draft; Ghanaian public reporting; WDPA list,Achimota project files; Graphic Online report on Achimota forest; WDPA Achimota Plantation listing,https://www.graphic.com.gh/news/general-news/parts-of-achimota-forest-no-longer-a-forest-reserve.html,Reported 1930 instrument classified the area as forest reserve. Instrument/order number needs archival Gazette verification.,year_supported_but_gazette_instrument_needs_verification,achimota
Bosumtwi Range Forest Reserve,Bosumtwi Range,Forest Reserve,1931,Protected Planet status year,,Forests Ordinance era,"Forests Ordinance, 1927, likely by order or traditional authority by-law",forests_ordinance_1927_or_native_authority_bylaw,High,77.28,,Ashanti Region / Lake Bosumtwi area,Protected Planet,Protected Planet profile for Bosumtwi Range,https://www.protectedplanet.net/40674,Protected Planet reports status year 1931 and area 77.28 km2.,verified_year_open_source; individual_gazette_not_found,bosumtwi_range
Bonkoni Forest Reserve,Bonkoni,Forest Reserve,1934,UN/WDPA Ghana list snippet,,Forests Ordinance era,"Forests Ordinance, 1927, likely by order or traditional authority by-law",forests_ordinance_1927_or_native_authority_bylaw,Medium,75.11,,Bono / Brong-Ahafo area,UN List/WDPA,United Nations List of Protected Areas of Ghana,https://documents.protectedplanet.net/GHA.html,Open-source list reports Designated 1934 and area 75.11 km2.,verified_year_open_source; individual_gazette_not_found,bonkoni
